Item Name,Weight,Value,Special Rules,Rarity,Page #
Weapon/Armor Repair Kit,1,75,Used to repair tools! Not consumed on general use.,Common,402
Weapon Maintenance Kit,0.5,10,Prevents wear and tear degradation for wepaons.,Common,402
Winterized Clothing Mod Kit,3,20,"Requires Sewing Kit, Adds protection from cold.",Common,403
Ammo Belt,1.5,50,"Holds 12 Reloads, -5 AP to reload",Uncommon,403
Backpack,5,75,Increases Carry Cap by 20 Lbs,Uncommon,403
Bandolier,2,20,Quick Access Sling + Ammo Belt. See page num,Common,403
Battle Saddle,5,150,Reduces STR Req by 2 for weapons.,Common,403
Chest Pouch,2,3,Increases Carry cap by 5 Lbs,Uncommon,404
Grenade Belt,3,100,Holds 12 Grenades. Half AP to use.,Rare,404
Javelin Bag,5,250,Quick Access Sling + even more! See page nu,Common,404
Large Battle Saddle,10,200,Reduces STR Req by 2 for weapons.,Uncommon,404
Larger Saddlebags,5,60,Increases carry cap by 20 Lbs,Rare,404
Leg Pouches,2,5,Increases Carry Cap by 5 Lbs. Can wear 2!,Uncommon,405
Military Backpack,7,100,Increases Carry Cap by 25 Lbs,Rare,405
Pistol Holsters,3,30,Can make a pistol or smg cound as holstered,Common,405
Quiver,3,125,May swap Arrows at 5 AP,Uncommon,405
Rifle Holsters,3,30,Can make 1 rifle count as holstered.,Common,405
Saddlebags,5,10,Holds your stuff! (You should already have this),Common,406
Tac Vest,6,150,Quick Access Sling + Ammo Belt. See page num,Rare,406
Throwing Knife Belt,3,75,Holds 7 Knives that can be thrown at -5 AP,Rare,406
Arcanotech Port,0.5,350,Very important for all Tech! See Page Num,Rare,406
Broadcaster,0.5,N/A,Allows Short Range Broadcasting! See Page Num,Extremely Rare,406
Stealthbuck,0.5,100,Grants Invisibility with a port! See Page Num,Rare,407
StealthBuck Mk II,0.5,500,"Like its predecessor, but better! See Page Num",Exotic,407
Non-Pratctical Books,2,25,3 to Academic/Lore or Shamanism! Must Reads,Rare,407
Practical Skill Books,2,40,3 to a whole variety of skills! See Page Num,Rare,408
Semi-Practical Skill Books,2,35,3 to a whole variety of skills! See Page Num,Rare,408
Skill Magazines,2,15,Any Skill! Grants a one hour +10 to that skill!,Rare,408
